*WERSJA VULCAN,,,,,,,
PLAN LEKCJI 2A,,,,,,,
,,,,,,,
BLOK,,PONIEDZIAŁEK,WTOREK,ŚRODA,CZWARTEK,PIĄTEK
0,8:00 - 8:45,WF,,,WF,
,8:45 - 9:30,WF,,,,,
,,,,,,,
1,10:00 - 10:45,BIOLOGIA B9,J. ANGIELSKI B3,HISTORIA B2,*,MATEMATYKA B9
,10:45 - 11:30,BIOLOGIA B9,J. ANGIELSKI B3,HISTORIA B2,EO,MATEMATYKA B9
2,11:35 - 12:20,J. ANGIELSKI B3,CHEMIA A2,J. ANGIELSKI B7,INF,FIZYKA B8
,12:20 - 13:05,J. ANGIELSKI B3,CHEMIA A2,J. ANGIELSKI B7,BIZ,FIZYKA B8
,,,,,,,
3,13:55 - 14:40,J. POLSKI A1,MATEMATYKA B7,MATEMATYKA B3,*,J. HISZPAŃSKI A2
,14:40 - 15:25,J. POLSKI A1,MATEMATYKA B7,MATEMATYKA B3,*,J. HISZPAŃSKI A2
4,15:30 - 16:15,EO,*,*,GEOGRAFIA B3,*
,16:15 - 17:00,G. WYCH,*,J. POLSKI A1,GEOGRAFIA B3,*
,,,,,,,



