*WERSJA VULCAN,,,,,,,
PLAN LEKCJI 4B,,,,,,,
,,,,,,,
BLOK,,PONIEDZIAŁEK,WTOREK,ŚRODA,CZWARTEK,PIĄTEK
0,8:00 - 8:45,,,,WF,
,8:45 - 9:30,,,,WF,WF
,,,,,,,
1,10:00 - 10:45,*,*,J. POLSKI A2,*,J. POLSKI A2
,10:45 - 11:30,*,*,J. POLSKI A2,*,J. POLSKI A2
2,11:35 - 12:20,MATEMATYKA B8,J. ANGIELSKI B3,G. WYCH. A2,MATEMATYKA B2,MATEMATYKA B2
,12:20 - 13:05,MATEMATYKA B8,J. ANGIELSKI B3,G. WYCH. A2,MATEMATYKA B2,MATEMATYKA B2
,,,,,,,
3,13:55 - 14:40,J. ANGIELSKI B3,J. HISZPAŃSKI A2,HISTORIA A2,*,J. ANGIELSKI B3
,14:40 - 15:25,J. ANGIELSKI B3,J. HISZPAŃSKI A2,HISTORIA A2,*,J. ANGIELSKI B3
4,15:30 - 16:15,J. ANGIELSKI B3,*,*,*,*
,16:15 - 17:00,J. ANGIELSKI B3,*,*,*,*
,,,,,,,



